Emoji in emoji.txt: 5225
Annotation entries in CLDR: 3948
Emoji missing from CLDR annotations: 1277

0023 FE0F 20E3	#️⃣
1F469 1F3FC 200D 2764 FE0F 200D 1F469 1F3FE	👩🏼‍❤️‍👩🏾
1F469 1F3FC 200D 2764 FE0F 200D 1F469 1F3FF	👩🏼‍❤️‍👩🏿
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB	👩🏼‍❤️‍💋‍👨🏻
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC	👩🏼‍❤️‍💋‍👨🏼
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD	👩🏼‍❤️‍💋‍👨🏽
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE	👩🏼‍❤️‍💋‍👨🏾
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF	👩🏼‍❤️‍💋‍👨🏿
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB	👩🏼‍❤️‍💋‍👩🏻
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC	👩🏼‍❤️‍💋‍👩🏼
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD	👩🏼‍❤️‍💋‍👩🏽
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE	👩🏼‍❤️‍💋‍👩🏾
1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF	👩🏼‍❤️‍💋‍👩🏿
1F469 1F3FC 200D 1F9AF 200D 27A1 FE0F	👩🏼‍🦯‍➡️
1F469 1F3FC 200D 1F9BC 200D 27A1 FE0F	👩🏼‍🦼‍➡️
1F469 1F3FC 200D 1F9BD 200D 27A1 FE0F	👩🏼‍🦽‍➡️
1F469 1F3FD 200D 2695 FE0F	👩🏽‍⚕️
1F469 1F3FD 200D 2696 FE0F	👩🏽‍⚖️
1F469 1F3FD 200D 2708 FE0F	👩🏽‍✈️
1F469 1F3FD 200D 2764 FE0F 200D 1F468 1F3FB	👩🏽‍❤️‍👨🏻
1F469 1F3FD 200D 2764 FE0F 200D 1F468 1F3FC	👩🏽‍❤️‍👨🏼
1F469 1F3FD 200D 2764 FE0F 200D 1F468 1F3FD	👩🏽‍❤️‍👨🏽
1F469 1F3FD 200D 2764 FE0F 200D 1F468 1F3FE	👩🏽‍❤️‍👨🏾
1F469 1F3FD 200D 2764 FE0F 200D 1F468 1F3FF	👩🏽‍❤️‍👨🏿
1F469 1F3FD 200D 2764 FE0F 200D 1F469 1F3FB	👩🏽‍❤️‍👩🏻
1F469 1F3FD 200D 2764 FE0F 200D 1F469 1F3FC	👩🏽‍❤️‍👩🏼
1F469 1F3FD 200D 2764 FE0F 200D 1F469 1F3FD	👩🏽‍❤️‍👩🏽
1F469 1F3FD 200D 2764 FE0F 200D 1F469 1F3FE	👩🏽‍❤️‍👩🏾
1F469 1F3FD 200D 2764 FE0F 200D 1F469 1F3FF	👩🏽‍❤️‍👩🏿
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB	👩🏽‍❤️‍💋‍👨🏻
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC	👩🏽‍❤️‍💋‍👨🏼
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD	👩🏽‍❤️‍💋‍👨🏽
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE	👩🏽‍❤️‍💋‍👨🏾
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF	👩🏽‍❤️‍💋‍👨🏿
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB	👩🏽‍❤️‍💋‍👩🏻
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC	👩🏽‍❤️‍💋‍👩🏼
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD	👩🏽‍❤️‍💋‍👩🏽
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE	👩🏽‍❤️‍💋‍👩🏾
1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF	👩🏽‍❤️‍💋‍👩🏿
1F469 1F3FD 200D 1F9AF 200D 27A1 FE0F	👩🏽‍🦯‍➡️
1F469 1F3FD 200D 1F9BC 200D 27A1 FE0F	👩🏽‍🦼‍➡️
1F469 1F3FD 200D 1F9BD 200D 27A1 FE0F	👩🏽‍🦽‍➡️
1F469 1F3FE 200D 2695 FE0F	👩🏾‍⚕️
1F469 1F3FE 200D 2696 FE0F	👩🏾‍⚖️
1F469 1F3FE 200D 2708 FE0F	👩🏾‍✈️
1F469 1F3FE 200D 2764 FE0F 200D 1F468 1F3FB	👩🏾‍❤️‍👨🏻
1F469 1F3FE 200D 2764 FE0F 200D 1F468 1F3FC	👩🏾‍❤️‍👨🏼
1F469 1F3FE 200D 2764 FE0F 200D 1F468 1F3FD	👩🏾‍❤️‍👨🏽
1F469 1F3FE 200D 2764 FE0F 200D 1F468 1F3FE	👩🏾‍❤️‍👨🏾
1F469 1F3FE 200D 2764 FE0F 200D 1F468 1F3FF	👩🏾‍❤️‍👨🏿
1F469 1F3FE 200D 2764 FE0F 200D 1F469 1F3FB	👩🏾‍❤️‍👩🏻
1F469 1F3FE 200D 2764 FE0F 200D 1F469 1F3FC	👩🏾‍❤️‍👩🏼
1F469 1F3FE 200D 2764 FE0F 200D 1F469 1F3FD	👩🏾‍❤️‍👩🏽
1F469 1F3FE 200D 2764 FE0F 200D 1F469 1F3FE	👩🏾‍❤️‍👩🏾
1F469 1F3FE 200D 2764 FE0F 200D 1F469 1F3FF	👩🏾‍❤️‍👩🏿
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB	👩🏾‍❤️‍💋‍👨🏻
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC	👩🏾‍❤️‍💋‍👨🏼
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD	👩🏾‍❤️‍💋‍👨🏽
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE	👩🏾‍❤️‍💋‍👨🏾
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF	👩🏾‍❤️‍💋‍👨🏿
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB	👩🏾‍❤️‍💋‍👩🏻
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC	👩🏾‍❤️‍💋‍👩🏼
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD	👩🏾‍❤️‍💋‍👩🏽
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE	👩🏾‍❤️‍💋‍👩🏾
1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF	👩🏾‍❤️‍💋‍👩🏿
1F469 1F3FE 200D 1F9AF 200D 27A1 FE0F	👩🏾‍🦯‍➡️
1F469 1F3FE 200D 1F9BC 200D 27A1 FE0F	👩🏾‍🦼‍➡️
1F469 1F3FE 200D 1F9BD 200D 27A1 FE0F	👩🏾‍🦽‍➡️
1F469 1F3FF 200D 2695 FE0F	👩🏿‍⚕️
1F469 1F3FF 200D 2696 FE0F	👩🏿‍⚖️
1F469 1F3FF 200D 2708 FE0F	👩🏿‍✈️
1F469 1F3FF 200D 2764 FE0F 200D 1F468 1F3FB	👩🏿‍❤️‍👨🏻
1F469 1F3FF 200D 2764 FE0F 200D 1F468 1F3FC	👩🏿‍❤️‍👨🏼
1F469 1F3FF 200D 2764 FE0F 200D 1F468 1F3FD	👩🏿‍❤️‍👨🏽
1F469 1F3FF 200D 2764 FE0F 200D 1F468 1F3FE	👩🏿‍❤️‍👨🏾
1F469 1F3FF 200D 2764 FE0F 200D 1F468 1F3FF	👩🏿‍❤️‍👨🏿
1F469 1F3FF 200D 2764 FE0F 200D 1F469 1F3FB	👩🏿‍❤️‍👩🏻
1F469 1F3FF 200D 2764 FE0F 200D 1F469 1F3FC	👩🏿‍❤️‍👩🏼
1F469 1F3FF 200D 2764 FE0F 200D 1F469 1F3FD	👩🏿‍❤️‍👩🏽
1F469 1F3FF 200D 2764 FE0F 200D 1F469 1F3FE	👩🏿‍❤️‍👩🏾
1F469 1F3FF 200D 2764 FE0F 200D 1F469 1F3FF	👩🏿‍❤️‍👩🏿
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB	👩🏿‍❤️‍💋‍👨🏻
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC	👩🏿‍❤️‍💋‍👨🏼
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD	👩🏿‍❤️‍💋‍👨🏽
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE	👩🏿‍❤️‍💋‍👨🏾
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF	👩🏿‍❤️‍💋‍👨🏿
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB	👩🏿‍❤️‍💋‍👩🏻
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC	👩🏿‍❤️‍💋‍👩🏼
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD	👩🏿‍❤️‍💋‍👩🏽
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE	👩🏿‍❤️‍💋‍👩🏾
1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF	👩🏿‍❤️‍💋‍👩🏿
1F469 1F3FF 200D 1F9AF 200D 27A1 FE0F	👩🏿‍🦯‍➡️
1F469 1F3FF 200D 1F9BC 200D 27A1 FE0F	👩🏿‍🦼‍➡️
1F469 1F3FF 200D 1F9BD 200D 27A1 FE0F	👩🏿‍🦽‍➡️
1F46E 200D 2640 FE0F	👮‍♀️
1F46E 200D 2642 FE0F	👮‍♂️
1F46E 1F3FB 200D 2640 FE0F	👮🏻‍♀️
1F46E 1F3FB 200D 2642 FE0F	👮🏻‍♂️
1F46E 1F3FC 200D 2640 FE0F	👮🏼‍♀️
1F46E 1F3FC 200D 2642 FE0F	👮🏼‍♂️
1F46E 1F3FD 200D 2640 FE0F	👮🏽‍♀️
1F46E 1F3FD 200D 2642 FE0F	👮🏽‍♂️
1F46E 1F3FE 200D 2640 FE0F	👮🏾‍♀️
1F46E 1F3FE 200D 2642 FE0F	👮🏾‍♂️
1F46E 1F3FF 200D 2640 FE0F	👮🏿‍♀️
1F46E 1F3FF 200D 2642 FE0F	👮🏿‍♂️
1F46F 200D 2640 FE0F	👯‍♀️
1F46F 200D 2642 FE0F	👯‍♂️
1F46F 1F3FB 200D 2640 FE0F	👯🏻‍♀️
1F46F 1F3FB 200D 2642 FE0F	👯🏻‍♂️
1F46F 1F3FC 200D 2640 FE0F	👯🏼‍♀️
1F46F 1F3FC 200D 2642 FE0F	👯🏼‍♂️
1F46F 1F3FD 200D 2640 FE0F	👯🏽‍♀️
1F46F 1F3FD 200D 2642 FE0F	👯🏽‍♂️
1F46F 1F3FE 200D 2640 FE0F	👯🏾‍♀️
1F46F 1F3FE 200D 2642 FE0F	👯🏾‍♂️
1F46F 1F3FF 200D 2640 FE0F	👯🏿‍♀️
1F46F 1F3FF 200D 2642 FE0F	👯🏿‍♂️
1F470 200D 2640 FE0F	👰‍♀️
1F470 200D 2642 FE0F	👰‍♂️
1F470 1F3FB 200D 2640 FE0F	👰🏻‍♀️
1F470 1F3FB 200D 2642 FE0F	👰🏻‍♂️
1F470 1F3FC 200D 2640 FE0F	👰🏼‍♀️
1F470 1F3FC 200D 2642 FE0F	👰🏼‍♂️
1F470 1F3FD 200D 2640 FE0F	👰🏽‍♀️
1F470 1F3FD 200D 2642 FE0F	👰🏽‍♂️
1F470 1F3FE 200D 2640 FE0F	👰🏾‍♀️
1F470 1F3FE 200D 2642 FE0F	👰🏾‍♂️
1F470 1F3FF 200D 2640 FE0F	👰🏿‍♀️
1F470 1F3FF 200D 2642 FE0F	👰🏿‍♂️
1F471 200D 2640 FE0F	👱‍♀️
1F471 200D 2642 FE0F	👱‍♂️
1F471 1F3FB 200D 2640 FE0F	👱🏻‍♀️
1F471 1F3FB 200D 2642 FE0F	👱🏻‍♂️
1F471 1F3FC 200D 2640 FE0F	👱🏼‍♀️
1F471 1F3FC 200D 2642 FE0F	👱🏼‍♂️
1F471 1F3FD 200D 2640 FE0F	👱🏽‍♀️
1F471 1F3FD 200D 2642 FE0F	👱🏽‍♂️
1F471 1F3FE 200D 2640 FE0F	👱🏾‍♀️
1F471 1F3FE 200D 2642 FE0F	👱🏾‍♂️
1F471 1F3FF 200D 2640 FE0F	👱🏿‍♀️
1F471 1F3FF 200D 2642 FE0F	👱🏿‍♂️
1F473 200D 2640 FE0F	👳‍♀️
1F473 200D 2642 FE0F	👳‍♂️
1F473 1F3FB 200D 2640 FE0F	👳🏻‍♀️
1F473 1F3FB 200D 2642 FE0F	👳🏻‍♂️
1F473 1F3FC 200D 2640 FE0F	👳🏼‍♀️
1F473 1F3FC 200D 2642 FE0F	👳🏼‍♂️
1F473 1F3FD 200D 2640 FE0F	👳🏽‍♀️
1F473 1F3FD 200D 2642 FE0F	👳🏽‍♂️
1F473 1F3FE 200D 2640 FE0F	👳🏾‍♀️
1F473 1F3FE 200D 2642 FE0F	👳🏾‍♂️
1F473 1F3FF 200D 2640 FE0F	👳🏿‍♀️
1F473 1F3FF 200D 2642 FE0F	👳🏿‍♂️
1F477 200D 2640 FE0F	👷‍♀️
1F477 200D 2642 FE0F	👷‍♂️
1F477 1F3FB 200D 2640 FE0F	👷🏻‍♀️
1F477 1F3FB 200D 2642 FE0F	👷🏻‍♂️
1F477 1F3FC 200D 2640 FE0F	👷🏼‍♀️
1F477 1F3FC 200D 2642 FE0F	👷🏼‍♂️
1F477 1F3FD 200D 2640 FE0F	👷🏽‍♀️
1F477 1F3FD 200D 2642 FE0F	👷🏽‍♂️
1F477 1F3FE 200D 2640 FE0F	👷🏾‍♀️
1F477 1F3FE 200D 2642 FE0F	👷🏾‍♂️
1F477 1F3FF 200D 2640 FE0F	👷🏿‍♀️
1F477 1F3FF 200D 2642 FE0F	👷🏿‍♂️
1F481 200D 2640 FE0F	💁‍♀️
1F481 200D 2642 FE0F	💁‍♂️
1F481 1F3FB 200D 2640 FE0F	💁🏻‍♀️
1F481 1F3FB 200D 2642 FE0F	💁🏻‍♂️
1F481 1F3FC 200D 2640 FE0F	💁🏼‍♀️
1F481 1F3FC 200D 2642 FE0F	💁🏼‍♂️
1F481 1F3FD 200D 2640 FE0F	💁🏽‍♀️
1F481 1F3FD 200D 2642 FE0F	💁🏽‍♂️
1F481 1F3FE 200D 2640 FE0F	💁🏾‍♀️
1F481 1F3FE 200D 2642 FE0F	💁🏾‍♂️
1F481 1F3FF 200D 2640 FE0F	💁🏿‍♀️
1F481 1F3FF 200D 2642 FE0F	💁🏿‍♂️
1F482 200D 2640 FE0F	💂‍♀️
1F482 200D 2642 FE0F	💂‍♂️
1F482 1F3FB 200D 2640 FE0F	💂🏻‍♀️
1F482 1F3FB 200D 2642 FE0F	💂🏻‍♂️
1F482 1F3FC 200D 2640 FE0F	💂🏼‍♀️
1F482 1F3FC 200D 2642 FE0F	💂🏼‍♂️
1F482 1F3FD 200D 2640 FE0F	💂🏽‍♀️
1F482 1F3FD 200D 2642 FE0F	💂🏽‍♂️
1F482 1F3FE 200D 2640 FE0F	💂🏾‍♀️
1F482 1F3FE 200D 2642 FE0F	💂🏾‍♂️
1F482 1F3FF 200D 2640 FE0F	💂🏿‍♀️
1F482 1F3FF 200D 2642 FE0F	💂🏿‍♂️
1F486 200D 2640 FE0F	💆‍♀️
1F486 200D 2642 FE0F	💆‍♂️
1F486 1F3FB 200D 2640 FE0F	💆🏻‍♀️
1F486 1F3FB 200D 2642 FE0F	💆🏻‍♂️
1F486 1F3FC 200D 2640 FE0F	💆🏼‍♀️
1F486 1F3FC 200D 2642 FE0F	💆🏼‍♂️
1F486 1F3FD 200D 2640 FE0F	💆🏽‍♀️
1F486 1F3FD 200D 2642 FE0F	💆🏽‍♂️
1F486 1F3FE 200D 2640 FE0F	💆🏾‍♀️
1F486 1F3FE 200D 2642 FE0F	💆🏾‍♂️
1F486 1F3FF 200D 2640 FE0F	💆🏿‍♀️
1F486 1F3FF 200D 2642 FE0F	💆🏿‍♂️
1F487 200D 2640 FE0F	💇‍♀️
1F487 200D 2642 FE0F	💇‍♂️
1F487 1F3FB 200D 2640 FE0F	💇🏻‍♀️
1F487 1F3FB 200D 2642 FE0F	💇🏻‍♂️
1F487 1F3FC 200D 2640 FE0F	💇🏼‍♀️
1F487 1F3FC 200D 2642 FE0F	💇🏼‍♂️
1F487 1F3FD 200D 2640 FE0F	💇🏽‍♀️
1F487 1F3FD 200D 2642 FE0F	💇🏽‍♂️
1F487 1F3FE 200D 2640 FE0F	💇🏾‍♀️
1F487 1F3FE 200D 2642 FE0F	💇🏾‍♂️
1F487 1F3FF 200D 2640 FE0F	💇🏿‍♀️
1F487 1F3FF 200D 2642 FE0F	💇🏿‍♂️
1F4FD FE0F	📽️
1F549 FE0F	🕉️
1F54A FE0F	🕊️
1F56F FE0F	🕯️
1F570 FE0F	🕰️
1F573 FE0F	🕳️
1F574 FE0F	🕴️
1F575 200D 2640 FE0F	🕵‍♀️
1F575 200D 2642 FE0F	🕵‍♂️
1F575 FE0F	🕵️
1F575 FE0F 200D 2640	🕵️‍♀
1F575 FE0F 200D 2640 FE0F	🕵️‍♀️
1F575 FE0F 200D 2642	🕵️‍♂
1F575 FE0F 200D 2642 FE0F	🕵️‍♂️
1F575 1F3FB 200D 2640 FE0F	🕵🏻‍♀️
1F575 1F3FB 200D 2642 FE0F	🕵🏻‍♂️
1F575 1F3FC 200D 2640 FE0F	🕵🏼‍♀️
1F575 1F3FC 200D 2642 FE0F	🕵🏼‍♂️
1F575 1F3FD 200D 2640 FE0F	🕵🏽‍♀️
1F575 1F3FD 200D 2642 FE0F	🕵🏽‍♂️
1F575 1F3FE 200D 2640 FE0F	🕵🏾‍♀️
1F575 1F3FE 200D 2642 FE0F	🕵🏾‍♂️
1F575 1F3FF 200D 2640 FE0F	🕵🏿‍♀️
1F575 1F3FF 200D 2642 FE0F	🕵🏿‍♂️
1F576 FE0F	🕶️
1F577 FE0F	🕷️
1F578 FE0F	🕸️
1F579 FE0F	🕹️
1F587 FE0F	🖇️
1F58A FE0F	🖊️
1F58B FE0F	🖋️
1F58C FE0F	🖌️
1F58D FE0F	🖍️
1F590 FE0F	🖐️
1F5A5 FE0F	🖥️
1F5A8 FE0F	🖨️
1F5B1 FE0F	🖱️
1F5B2 FE0F	🖲️
1F5BC FE0F	🖼️
1F5C2 FE0F	🗂️
1F5C3 FE0F	🗃️
1F5C4 FE0F	🗄️
1F5D1 FE0F	🗑️
1F5D2 FE0F	🗒️
1F5D3 FE0F	🗓️
1F5DC FE0F	🗜️
1F5DD FE0F	🗝️
1F5DE FE0F	🗞️
1F5E1 FE0F	🗡️
1F5E3 FE0F	🗣️
1F5E8 FE0F	🗨️
1F5EF FE0F	🗯️
1F5F3 FE0F	🗳️
1F5FA FE0F	🗺️
1F636 200D 1F32B FE0F	😶‍🌫️
1F642 200D 2194 FE0F	🙂‍↔️
1F642 200D 2195 FE0F	🙂‍↕️
1F645 200D 2640 FE0F	🙅‍♀️
1F645 200D 2642 FE0F	🙅‍♂️
1F645 1F3FB 200D 2640 FE0F	🙅🏻‍♀️
1F645 1F3FB 200D 2642 FE0F	🙅🏻‍♂️
1F645 1F3FC 200D 2640 FE0F	🙅🏼‍♀️
1F645 1F3FC 200D 2642 FE0F	🙅🏼‍♂️
1F645 1F3FD 200D 2640 FE0F	🙅🏽‍♀️
1F645 1F3FD 200D 2642 FE0F	🙅🏽‍♂️
1F645 1F3FE 200D 2640 FE0F	🙅🏾‍♀️
1F645 1F3FE 200D 2642 FE0F	🙅🏾‍♂️
1F645 1F3FF 200D 2640 FE0F	🙅🏿‍♀️
1F645 1F3FF 200D 2642 FE0F	🙅🏿‍♂️
1F646 200D 2640 FE0F	🙆‍♀️
1F646 200D 2642 FE0F	🙆‍♂️
1F646 1F3FB 200D 2640 FE0F	🙆🏻‍♀️
1F646 1F3FB 200D 2642 FE0F	🙆🏻‍♂️
1F646 1F3FC 200D 2640 FE0F	🙆🏼‍♀️
1F646 1F3FC 200D 2642 FE0F	🙆🏼‍♂️
1F646 1F3FD 200D 2640 FE0F	🙆🏽‍♀️
1F646 1F3FD 200D 2642 FE0F	🙆🏽‍♂️
1F646 1F3FE 200D 2640 FE0F	🙆🏾‍♀️
1F646 1F3FE 200D 2642 FE0F	🙆🏾‍♂️
1F646 1F3FF 200D 2640 FE0F	🙆🏿‍♀️
1F646 1F3FF 200D 2642 FE0F	🙆🏿‍♂️
1F647 200D 2640 FE0F	🙇‍♀️
1F647 200D 2642 FE0F	🙇‍♂️
1F647 1F3FB 200D 2640 FE0F	🙇🏻‍♀️
1F647 1F3FB 200D 2642 FE0F	🙇🏻‍♂️
1F647 1F3FC 200D 2640 FE0F	🙇🏼‍♀️
1F647 1F3FC 200D 2642 FE0F	🙇🏼‍♂️
1F647 1F3FD 200D 2640 FE0F	🙇🏽‍♀️
1F647 1F3FD 200D 2642 FE0F	🙇🏽‍♂️
1F647 1F3FE 200D 2640 FE0F	🙇🏾‍♀️
1F647 1F3FE 200D 2642 FE0F	🙇🏾‍♂️
1F647 1F3FF 200D 2640 FE0F	🙇🏿‍♀️
1F647 1F3FF 200D 2642 FE0F	🙇🏿‍♂️
1F64B 200D 2640 FE0F	🙋‍♀️
1F64B 200D 2642 FE0F	🙋‍♂️
1F64B 1F3FB 200D 2640 FE0F	🙋🏻‍♀️
1F64B 1F3FB 200D 2642 FE0F	🙋🏻‍♂️
1F64B 1F3FC 200D 2640 FE0F	🙋🏼‍♀️
1F64B 1F3FC 200D 2642 FE0F	🙋🏼‍♂️
1F64B 1F3FD 200D 2640 FE0F	🙋🏽‍♀️
1F64B 1F3FD 200D 2642 FE0F	🙋🏽‍♂️
1F64B 1F3FE 200D 2640 FE0F	🙋🏾‍♀️
1F64B 1F3FE 200D 2642 FE0F	🙋🏾‍♂️
1F64B 1F3FF 200D 2640 FE0F	🙋🏿‍♀️
1F64B 1F3FF 200D 2642 FE0F	🙋🏿‍♂️
1F64D 200D 2640 FE0F	🙍‍♀️
1F64D 200D 2642 FE0F	🙍‍♂️
1F64D 1F3FB 200D 2640 FE0F	🙍🏻‍♀️
1F64D 1F3FB 200D 2642 FE0F	🙍🏻‍♂️
1F64D 1F3FC 200D 2640 FE0F	🙍🏼‍♀️
1F64D 1F3FC 200D 2642 FE0F	🙍🏼‍♂️
1F64D 1F3FD 200D 2640 FE0F	🙍🏽‍♀️
1F64D 1F3FD 200D 2642 FE0F	🙍🏽‍♂️
1F64D 1F3FE 200D 2640 FE0F	🙍🏾‍♀️
1F64D 1F3FE 200D 2642 FE0F	🙍🏾‍♂️
1F64D 1F3FF 200D 2640 FE0F	🙍🏿‍♀️
1F64D 1F3FF 200D 2642 FE0F	🙍🏿‍♂️
1F64E 200D 2640 FE0F	🙎‍♀️
1F64E 200D 2642 FE0F	🙎‍♂️
1F64E 1F3FB 200D 2640 FE0F	🙎🏻‍♀️
1F64E 1F3FB 200D 2642 FE0F	🙎🏻‍♂️
1F64E 1F3FC 200D 2640 FE0F	🙎🏼‍♀️
1F64E 1F3FC 200D 2642 FE0F	🙎🏼‍♂️
1F64E 1F3FD 200D 2640 FE0F	🙎🏽‍♀️
1F64E 1F3FD 200D 2642 FE0F	🙎🏽‍♂️
1F64E 1F3FE 200D 2640 FE0F	🙎🏾‍♀️
1F64E 1F3FE 200D 2642 FE0F	🙎🏾‍♂️
1F64E 1F3FF 200D 2640 FE0F	🙎🏿‍♀️
1F64E 1F3FF 200D 2642 FE0F	🙎🏿‍♂️
1F6A3 200D 2640 FE0F	🚣‍♀️
1F6A3 200D 2642 FE0F	🚣‍♂️
1F6A3 1F3FB 200D 2640 FE0F	🚣🏻‍♀️
1F6A3 1F3FB 200D 2642 FE0F	🚣🏻‍♂️
1F6A3 1F3FC 200D 2640 FE0F	🚣🏼‍♀️
1F6A3 1F3FC 200D 2642 FE0F	🚣🏼‍♂️
1F6A3 1F3FD 200D 2640 FE0F	🚣🏽‍♀️
1F6A3 1F3FD 200D 2642 FE0F	🚣🏽‍♂️
1F6A3 1F3FE 200D 2640 FE0F	🚣🏾‍♀️
1F6A3 1F3FE 200D 2642 FE0F	🚣🏾‍♂️
1F6A3 1F3FF 200D 2640 FE0F	🚣🏿‍♀️
1F6A3 1F3FF 200D 2642 FE0F	🚣🏿‍♂️
1F6B4 200D 2640 FE0F	🚴‍♀️
1F6B4 200D 2642 FE0F	🚴‍♂️
1F6B4 1F3FB 200D 2640 FE0F	🚴🏻‍♀️
1F6B4 1F3FB 200D 2642 FE0F	🚴🏻‍♂️
1F6B4 1F3FC 200D 2640 FE0F	🚴🏼‍♀️
1F6B4 1F3FC 200D 2642 FE0F	🚴🏼‍♂️
1F6B4 1F3FD 200D 2640 FE0F	🚴🏽‍♀️
1F6B4 1F3FD 200D 2642 FE0F	🚴🏽‍♂️
1F6B4 1F3FE 200D 2640 FE0F	🚴🏾‍♀️
1F6B4 1F3FE 200D 2642 FE0F	🚴🏾‍♂️
1F6B4 1F3FF 200D 2640 FE0F	🚴🏿‍♀️
1F6B4 1F3FF 200D 2642 FE0F	🚴🏿‍♂️
1F6B5 200D 2640 FE0F	🚵‍♀️
1F6B5 200D 2642 FE0F	🚵‍♂️
1F6B5 1F3FB 200D 2640 FE0F	🚵🏻‍♀️
1F6B5 1F3FB 200D 2642 FE0F	🚵🏻‍♂️
1F6B5 1F3FC 200D 2640 FE0F	🚵🏼‍♀️
1F6B5 1F3FC 200D 2642 FE0F	🚵🏼‍♂️
1F6B5 1F3FD 200D 2640 FE0F	🚵🏽‍♀️
1F6B5 1F3FD 200D 2642 FE0F	🚵🏽‍♂️
1F6B5 1F3FE 200D 2640 FE0F	🚵🏾‍♀️
1F6B5 1F3FE 200D 2642 FE0F	🚵🏾‍♂️
1F6B5 1F3FF 200D 2640 FE0F	🚵🏿‍♀️
1F6B5 1F3FF 200D 2642 FE0F	🚵🏿‍♂️
1F6B6 200D 2640 200D 27A1 FE0F	🚶‍♀‍➡️
1F6B6 200D 2640 FE0F	🚶‍♀️
1F6B6 200D 2640 FE0F 200D 27A1	🚶‍♀️‍➡
1F6B6 200D 2640 FE0F 200D 27A1 FE0F	🚶‍♀️‍➡️
1F6B6 200D 2642 200D 27A1 FE0F	🚶‍♂‍➡️
1F6B6 200D 2642 FE0F	🚶‍♂️
1F6B6 200D 2642 FE0F 200D 27A1	🚶‍♂️‍➡
1F6B6 200D 2642 FE0F 200D 27A1 FE0F	🚶‍♂️‍➡️
1F6B6 200D 27A1 FE0F	🚶‍➡️
1F6B6 1F3FB 200D 2640 200D 27A1 FE0F	🚶🏻‍♀‍➡️
1F6B6 1F3FB 200D 2640 FE0F	🚶🏻‍♀️
1F6B6 1F3FB 200D 2640 FE0F 200D 27A1	🚶🏻‍♀️‍➡
1F6B6 1F3FB 200D 2640 FE0F 200D 27A1 FE0F	🚶🏻‍♀️‍➡️
